City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
222,Amga,60.8953,131.9608,33.82,98,100,6.42,RU,moderate rain,2021-10-10 23:20:38
223,Labuhan,-6.8844,112.2051,78.3,75,71,9.44,ID,broken clouds,2021-10-10 23:15:36
224,Gamba,-2.65,10.0,75.76,84,100,2.1,GA,overcast clouds,2021-10-10 23:20:38
225,Lavrentiya,65.5833,-171.0,30.52,78,45,2.66,RU,scattered clouds,2021-10-10 23:14:06
226,Mahebourg,-20.4081,57.7,71.26,91,96,8.93,MU,light rain,2021-10-10 23:13:56
227,Hettstedt,51.65,11.5,42.98,58,23,6.44,DE,few clouds,2021-10-10 23:20:38
228,Sovetskiy,61.3614,63.5842,28.38,57,29,5.26,RU,scattered clouds,2021-10-10 23:20:39
229,Henderson,36.0397,-114.9819,80.04,21,1,4.61,US,clear sky,2021-10-10 23:20:39
230,Cabo San Lucas,22.8909,-109.9124,94.17,68,20,4.0,MX,few clouds,2021-10-10 23:12:11
231,Platteville,42.7342,-90.4785,72.28,100,40,4.61,US,scattered clouds,2021-10-10 23:15:51
232,Miri,4.4148,114.0089,80.74,94,20,2.3,MY,few clouds,2021-10-10 23:20:40
233,Krasnoselkup,65.7,82.4667,25.23,82,54,11.92,RU,broken clouds,2021-10-10 23:14:41
234,Muros,42.7762,-9.0603,66.24,70,0,11.07,ES,clear sky,2021-10-10 23:17:12
235,Mogadishu,2.0371,45.3438,78.17,87,16,13.44,SO,few clouds,2021-10-10 23:20:40
236,Hernani,43.2662,-1.9762,57.42,86,0,1.01,ES,clear sky,2021-10-10 23:20:40
237,College,64.8569,-147.8028,37.58,94,90,6.91,US,light rain,2021-10-10 23:14:39
238,Kostino,58.9097,53.2691,43.12,98,100,6.42,RU,overcast clouds,2021-10-10 23:20:41
239,Kharp,66.8014,65.8081,26.28,89,25,5.48,RU,scattered clouds,2021-10-10 23:16:26
240,General Pico,-35.6566,-63.7568,61.02,76,97,6.91,AR,overcast clouds,2021-10-10 23:20:41
241,Surt,31.2089,16.5887,76.01,68,71,11.65,LY,broken clouds,2021-10-10 23:20:42
242,Puebloviejo,10.9938,-74.2844,82.6,80,100,7.02,CO,overcast clouds,2021-10-10 23:20:42
243,Broome,42.2506,-75.833,65.19,80,90,3.0,US,overcast clouds,2021-10-10 23:14:10
244,Majene,-3.5403,118.9707,79.88,84,98,5.28,ID,overcast clouds,2021-10-10 23:20:42
245,Provideniya,64.3833,-173.3,33.91,75,90,8.95,RU,overcast clouds,2021-10-10 23:13:45
246,Alofi,-19.0595,-169.9187,80.49,78,100,6.91,NU,overcast clouds,2021-10-10 23:16:14
247,Sao Filipe,14.8961,-24.4956,80.89,71,0,3.58,CV,clear sky,2021-10-10 23:14:32
248,Riyadh,24.6877,46.7219,77.14,18,0,2.98,SA,clear sky,2021-10-10 23:19:26
